Model,RMSE_log,MB_CI_95_low,MB_CI_95_high
LightGBM + Lag Features,0.14039537913676098,0.12401266018005205,0.1596235500537762
LightGBM + Enthalpy + Lag,0.14063857670070795,0.12523878626760068,0.15892101619090512
XGBoost + Lag Features,0.14410586519505544,0.12874474878118447,0.162216145545819
CatBoost + Lag Features,0.14504169154989932,0.13055746264040288,0.16226683621930835
Persistence (lag-1),0.1574913602779154,0.14475396590910236,0.17167539689684025
Persistence (lag-24),0.35715059501916674,0.3053859718546597,0.41351605353261356
Persistence (lag-168),0.43816106103680347,0.3726490629289621,0.49992662962325335
XGBoost,0.509486505672258,0.4665321391939471,0.5658878563173183
XGBoost + Enthalpy,0.5199589223867783,0.4730872969759699,0.5745291542513341
LightGBM (No Enthalpy),0.5227480378069208,0.47548113477959736,0.5773458057769237
LightGBM + Enthalpy,0.5471503300568186,0.49237445835948734,0.6079596718444089
CatBoost,0.8211132034380573,0.7572025462220671,0.8754689859754313
CatBoost + Enthalpy,0.8501602408450937,0.7856436459090004,0.9045753670734122
Random Forest,0.9398125889763701,0.8673850259775766,1.0043955637662898
Ridge Regression,1.32967223753726,1.2658754922578752,1.3909369783461354
