Model,RMSE_log,CI_95_low,CI_95_high,Coverage
LightGBM + Lag Features,0.14039537913676098,0.1161497956114502,0.16218079274254393,full test rows
LightGBM + Enthalpy + Lag,0.14063857670070795,0.11666901573467926,0.1622059667224538,full test rows
XGBoost + Lag Features,0.14410586519505544,0.12047646571918244,0.16519593468653587,full test rows
CatBoost + Lag Features,0.14504169154989932,0.12230845870301048,0.1666127874108519,full test rows
Persistence (lag-1),0.1574913602779154,0.13613325778128235,0.17889905286320937,full test rows
GRU sequence 24h (best of 5 seeds),0.18418665778683038,0.162469733758349,0.2059264809930117,matched rows only (n=59728)
Persistence (lag-24),0.35715059501916674,0.28491776445518274,0.4277358577744355,full test rows
Persistence (lag-168),0.43816106103680347,0.32833504760023285,0.5598820939031964,full test rows
XGBoost,0.509486505672258,0.444945290333085,0.5824658168400184,full test rows
XGBoost + Enthalpy,0.5199589223867783,0.4490096980100178,0.6021424693156043,full test rows
LightGBM (No Enthalpy),0.5227480378069208,0.4352175961813481,0.6191770822560932,full test rows
LightGBM + Enthalpy,0.5471503300568186,0.44619001683791865,0.6699625649101789,full test rows
CatBoost,0.8211132034380573,0.6880301366832294,0.9506093692999168,full test rows
CatBoost + Enthalpy,0.8501602408450937,0.7097894273097124,0.9860202062741735,full test rows
Random Forest,0.9398125889763701,0.766148137664255,1.106986385499581,full test rows
Ridge Regression,1.32967223753726,1.1720462017462816,1.4953642023293408,full test rows
