Model,RMSE_log,R2_log,MAE_log,WAPE_log_percent,sMAPE_log_percent,RMSE_raw_kwh,MAE_raw_kwh,Train_seconds
LightGBM + Lag Features,0.14039537913676098,0.9914144603627034,0.06254166441133141,1.396130952748511,3.4068476541046526,44.04759982228054,11.041648212342789,0.6326602939999475
LightGBM + Enthalpy + Lag,0.14063857670070795,0.9913846902837427,0.06417028732103548,1.4416869192950033,3.465583398351759,46.71048028479662,11.435263235057098,0.6310369629999286
XGBoost + Lag Features,0.14410586777878534,0.9909546515927975,0.06648149892450442,1.452537393129629,3.4693827990108916,41.95898128031007,10.863085179402816,13.375541737000049
CatBoost + Lag Features,0.14504169154989932,0.9908367891133467,0.06921591023843336,1.567372926278675,3.591648315928296,49.11481927778642,12.631766702283905,28.805078329000025
Persistence (lag-1),0.15749136593287186,0.9891962265429879,0.06299297988101034,1.454948666762771,1.8464021161377318,44.564468267531545,8.592079162983156,0.0
GRU sequence 24h (best of 5 seeds),0.18418664407056867,0.9853977892933398,0.1091670740187216,2.5582039887535113,4.7518036957875776,131.9780289789089,30.324264314326022,36.56929753099996
Persistence (lag-24),0.3571505964425884,0.9444396811946758,0.1296400748475376,2.8489002462063024,4.059789177215392,99.10206805501538,19.77873215297911,0.0
Persistence (lag-168),0.4381610736602085,0.9163762664107612,0.17010001131562155,3.6956528816913448,5.295223784954754,87.40426326959647,23.406294875562875,0.0
XGBoost,0.5094864997094594,0.8869352229104712,0.3362698555418475,7.511904977320322,10.358227534450162,173.08829439816893,60.17009928643165,9.200631476999945
XGBoost + Enthalpy,0.5199589196959281,0.8822393931275688,0.3411622121602463,7.633930767688151,10.465135532004542,159.92851800298715,60.79051956946728,10.239158860999964
LightGBM (No Enthalpy),0.5227480378069208,0.8809726424456833,0.3227966699936703,7.229519620699527,10.278772571096543,142.80233637821846,53.41890471070953,0.9281694210000069
LightGBM + Enthalpy,0.5471503300568186,0.8696006878073492,0.3261469022725524,7.299663473180354,10.390284382666087,138.71221079442785,51.978428706099095,0.805858550000039
CatBoost,0.8211132034380573,0.7063242809293994,0.5582535995556741,12.684092107850994,15.46033443681477,279.6793375457653,103.2585264595931,18.000789010000062
CatBoost + Enthalpy,0.8501602408450937,0.6851791038681863,0.5808030613728427,13.225592056027773,16.219208113018034,275.54967419548495,103.51671309625367,20.408477973999993
Random Forest,0.9398125889763701,0.615280246359043,0.5953494976768336,13.534378620647875,16.517843209542654,279.97511478928726,103.52956584752691,165.32936360000002
Ridge Regression,1.3296721235253575,0.2298929531925048,0.9934198208863138,22.423769175076917,26.04909722157982,1046.8411703257448,246.97835645476493,0.10955527499999107
