Feature,Mean_abs_SHAP
square_feet,0.9418946995660159
building_id,0.22503204373124902
month,0.1500740758474805
primary_use_code,0.10314934033956194
hour,0.05977201686792661
hour_cos,0.05160383860592588
site_id,0.04083691800134031
physics_enthalpy,0.035231812551093845
dayofweek,0.03281589162237517
dow_sin,0.018381119082078172
air_temperature,0.012165030727803495
month_sin,0.008500051470434528
hour_sin,0.007059043999788653
sea_level_pressure,0.0059319192453042265
month_cos,0.005174247810547924
wind_direction,0.004504283022132802
dew_temperature,0.004493273070925082
precip_depth_1_hr,0.0029172523436374284
wind_speed,0.002031072613131972
dow_cos,0.0006496754971709882
cloud_coverage,0.00034417378640301077
vapor_pressure_hpa,0.0
humidity_ratio,0.0
